"Ajatempel (UTC)";"Kuupäev (Eesti aeg)";"NPS Eesti"
"1732143600";"21.11.2024 01:00";"33,53"
"1732147200";"21.11.2024 02:00";"29,34"
"1732150800";"21.11.2024 03:00";"29,4"
"1732154400";"21.11.2024 04:00";"31,49"
"1732158000";"21.11.2024 05:00";"33,51"
"1732161600";"21.11.2024 06:00";"36,49"
"1732165200";"21.11.2024 07:00";"102,9"
"1732168800";"21.11.2024 08:00";"118,74"
"1732172400";"21.11.2024 09:00";"131,35"
"1732176000";"21.11.2024 10:00";"134,98"
"1732179600";"21.11.2024 11:00";"122,71"
"1732183200";"21.11.2024 12:00";"110,92"
"1732186800";"21.11.2024 13:00";"107,79"
"1732190400";"21.11.2024 14:00";"118,29"
"1732194000";"21.11.2024 15:00";"134,14"
"1732197600";"21.11.2024 16:00";"146,17"
"1732201200";"21.11.2024 17:00";"172,67"
"1732204800";"21.11.2024 18:00";"173,88"
"1732208400";"21.11.2024 19:00";"154,08"
"1732212000";"21.11.2024 20:00";"145,87"
"1732215600";"21.11.2024 21:00";"123,09"
"1732219200";"21.11.2024 22:00";"114,21"
"1732222800";"21.11.2024 23:00";"113,61"
"1732226400";"22.11.2024 00:00";"90,61"
